tract,total,total_se2,race,race_ct,race_ct_se2,race_share,race_share_se2
06037482522,5155,71869.62426437302,white_nh,634,34151.938729316986,0.12298739088263821,0.0012442543461397516
06037482522,5155,71869.62426437302,black_nh,11,53.21458597019614,0.002133850630455868,2.0148182769034208e-6
06037482522,5155,71869.62426437302,asian_nh,2017,60614.73933167653,0.391270611057226,0.0018669367981080764
06037482522,5155,71869.62426437302,hisp,2400,57366.801858815044,0.4655674102812803,0.0015725447770613696
06037482600,6714,128203.1762456001,white_nh,422,15682.042848828076,0.06285373845695562,3.366527580501641e-4
06037482600,6714,128203.1762456001,black_nh,0,106.79871767629642,0,2.3692089488203107e-6
06037482600,6714,128203.1762456001,asian_nh,4834,199094.98249277077,0.7199880845993446,0.0029423944249987854
06037482600,6714,128203.1762456001,hisp,1307,113829.32530187267,0.19466785820673221,0.002417398406497282
06037482701,4253,56785.87596197374,white_nh,144,2248.3162572407864,0.03385845285680696,1.206996979396185e-4
06037482701,4253,56785.87596197374,black_nh,22,452.69352648257126,0.005172819186456619,2.4943267481840196e-5
06037482701,4253,56785.87596197374,asian_nh,1568,18542.326844726118,0.36868093110745354,0.0014518448520801943
06037482701,4253,56785.87596197374,hisp,2299,55346.49532062712,0.5405596049847167,0.002142490985889561
06037482702,2522,13200.54323223178,white_nh,207,2365.0927097864947,0.08207771609833465,3.578601770920302e-4
06037482702,2522,13200.54323223178,black_nh,0,53.21458597019614,0,8.366436574668868e-6
06037482702,2522,13200.54323223178,asian_nh,1157,7346.938775510203,0.4587628865979381,7.182956121319658e-4
06037482702,2522,13200.54323223178,hisp,1133,8537.984682329246,0.4492466296590008,9.234859475461165e-4
06037482800,4467,45011.04017886013,white_nh,214,2545.800574643619,0.04790687262144616,1.2240584657515364e-4
06037482800,4467,45011.04017886013,black_nh,0,53.21458597019614,0,2.6668511887561563e-6
06037482800,4467,45011.04017886013,asian_nh,2081,37369.94299757024,0.46586075665995075,0.0013832436039652011
06037482800,4467,45011.04017886013,hisp,1978,40487.80037139346,0.44280277591224537,0.0015867570927476662
06037500100,3965,38793.433172272984,white_nh,2103,21821.306159403553,0.5303909205548549,6.938485896294592e-4
06037500100,3965,38793.433172272984,black_nh,5,13.303646492549035,0.0012610340479192938,8.501459699540541e-7
06037500100,3965,38793.433172272984,asian_nh,557,7037.628994558438,0.14047919293820932,3.989551530127552e-4
06037500100,3965,38793.433172272984,hisp,1230,26939.88414741179,0.31021437578814626,0.0014761367059872518
06037500201,6682,60914.44092349479,white_nh,3401,56496.521650760806,0.5089793475007482,9.119110161257116e-4
06037500201,6682,60914.44092349479,black_nh,17,249.81291747119852,0.0025441484585453458,5.586193294510532e-6
06037500201,6682,60914.44092349479,asian_nh,775,11317.338162064281,0.11598323855133194,2.351201851842779e-4
06037500201,6682,60914.44092349479,hisp,2237,38078.362173298476,0.33478000598623164,6.999289535185231e-4
06037500202,4753,27541.874151199638,white_nh,1730,21642.076477490045,0.3639806438039133,7.964795379764191e-4
06037500202,4753,27541.874151199638,black_nh,69,2078.6947644607862,0.014517147065011572,9.175731733432944e-5
06037500202,4753,27541.874151199638,asian_nh,571,4553.173012074907,0.12013465179886387,1.8395280484538414e-4
06037500202,4753,27541.874151199638,hisp,2300,30227.36301401502,0.4839049021670524,0.0010525447912839816
06037500300,3142,16142.127290028731,white_nh,597,18377.13990077697,0.19000636537237428,0.001802479178800662
06037500300,3142,16142.127290028731,black_nh,16,133.40601066139448,0.005092297899427116,1.3470949340137367e-5
06037500300,3142,16142.127290028731,asian_nh,508,4310.381463585887,0.16168045830681094,3.938768688966409e-4
06037500300,3142,16142.127290028731,hisp,1929,31942.05522861023,0.6139401654996818,0.002619255901978834
06037500402,4700,106565.5343169409,white_nh,215,23096.60849400874,0.045744680851063826,0.0010354736094610538
06037500402,4700,106565.5343169409,black_nh,0,53.21458597019614,0,2.4089898583158052e-06
06037500402,4700,106565.5343169409,asian_nh,0,53.21458597019614,0,2.4089898583158052e-06
06037500402,4700,106565.5343169409,hisp,4470,112602.063912935,0.951063829787234,7.33868273773162e-4
06037500403,4032,40732.8091942979,white_nh,234,5058.711578791771,0.05803571428571429,3.02731767296248e-4
06037500403,4032,40732.8091942979,black_nh,0,53.21458597019614,0,3.273328868198517e-6
06037500403,4032,40732.8091942979,asian_nh,276,4802.616383810202,0.06845238095238096,2.836775968708765e-4
06037500403,4032,40732.8091942979,hisp,3475,40732.8091942979,0.8618551587301587,6.444420642962391e-4
06037500404,4977,57658.37344444342,white_nh,356,23467.6324128565,0.07152903355435002,9.354918887148893e-4
06037500404,4977,57658.37344444342,black_nh,83,3127.8351086926396,0.016676712879244524,1.2562507565953984e-4
06037500404,4977,57658.37344444342,asian_nh,691,57366.801858815044,0.1388386578259996,0.002271060463939543
06037500404,4977,57658.37344444342,hisp,3725,154695.1709610961,0.748442837050432,0.004941229608595511
06037500500,2937,35742.833122384305,white_nh,139,781.9587771731599,0.047327204630575416,9.993287397607388e-5
06037500500,2937,35742.833122384305,black_nh,16,119.73281843294129,0.005447735784814436,1.400348041893338e-5
06037500500,2937,35742.833122384305,asian_nh,221,4718.729501759961,0.0752468505277494,5.235760083148387e-4
06037500500,2937,35742.833122384305,hisp,2561,35056.58669081033,0.8719782090568607,9.13481905889534e-4
06037500600,5679,112194.45496623276,white_nh,221,10430.058850158443,0.03891530198978693,3.1813396304859504e-4
06037500600,5679,112194.45496623276,black_nh,0,106.79871767629642,0,3.3114812534670252e-6
06037500600,5679,112194.45496623276,asian_nh,33,533.6240426455779,0.005810882197569995,1.6663413751350573e-5
06037500600,5679,112194.45496623276,hisp,5425,121756.45088275237,0.955273815812643,6.007129600588627e-4
06037500700,6380,78877.32005432322,white_nh,371,3549.1172476233587,0.058150470219435736,9.374512597995203e-5
06037500700,6380,78877.32005432322,black_nh,0,106.79871767629642,0,2.623763467249153e-6
06037500700,6380,78877.32005432322,asian_nh,50,1158.8954277953824,0.007836990595611285,2.8351994066930042e-5
06037500700,6380,78877.32005432322,hisp,5930,76841.86214096323,0.9294670846394985,2.1371229166520812e-4
06037500800,5515,90547.94393991186,white_nh,319,4390.572888277085,0.05784224841341795,1.5431486933062635e-4
06037500800,5515,90547.94393991186,black_nh,158,6245.322936779963,0.028649138712601996,2.0289192717460708e-4
06037500800,5515,90547.94393991186,asian_nh,88,1513.6593342633566,0.015956482320942884,4.900851409449482e-5
06037500800,5515,90547.94393991186,hisp,4795,64568.509160114925,0.8694469628286491,0.004373373622034414
06037500900,5999,84788.94319158174,white_nh,210,2927.1717740966915,0.03500583430571762,8.422454084948048e-5
06037500900,5999,84788.94319158174,black_nh,124,2797.0916750584342,0.02067011168528088,7.67162727618621e-5
06037500900,5999,84788.94319158174,asian_nh,175,2733.160262747018,0.029171528588098017,7.394149874149784e-5
06037500900,5999,84788.94319158174,hisp,5350,90182.46320710267,0.8918153025504251,6.320686885909727e-4
06037501001,3428,61516.06138154674,white_nh,146,1810.774105930285,0.042590431738623105,1.6358869457286176e-4
06037501001,3428,61516.06138154674,black_nh,0,53.21458597019614,0,4.528444620575776e-6
06037501001,3428,61516.06138154674,asian_nh,0,53.21458597019614,0,4.528444620575776e-6
06037501001,3428,61516.06138154674,hisp,3282,66435.45421790263,0.9574095682613769,8.55045527177526e-4
06037501002,5165,31508.94762613058,white_nh,676,6438.964902393731,0.1308809293320426,2.2113328409573322e-4
06037501002,5165,31508.94762613058,black_nh,124,6245.322936779963,0.024007744433688288,2.3342615538713871e-4
06037501002,5165,31508.94762613058,asian_nh,64,1915.7250949270606,0.012391093901258471,7.162991038466077e-5
