tract,baplus,total,baplus_se2,total_se2,baplus_share,baplus_share_se2
06061021204,693,2e3,6097.874188154211,12922.644838831866,0.3465,0.0011365880932132923
06061021304,916,3952,16712.705906264724,51690.57935532746,0.23178137651821862,8.922705853187569e-4
06061021309,3696,6920,64547.07550743248,28354.874770188748,0.5341040462427745,0.0011790061833314828
06061021322,3864,9839,62652.04497371607,75499.67202815937,0.3927228376867568,5.269061786059529e-4
06061021401,221,1662,1518.8329745660144,9460.370839145979,0.13297232250300842,4.892971500062375e-4
06061021403,642,4787,14653.966611542759,59720.069105052615,0.13411322331313974,5.926075267832306e-4
06061021501,1141,4596,20247.41087018782,47098.23449524671,0.24825935596170584,8.211164031360426e-4
06061021502,1037,2802,11743.05484982585,14487.671030385898,0.3700927908636688,0.001242955572372029
06061021603,597,3315,7968.514703300967,28354.874770188748,0.18009049773755656,6.414367482510737e-4
06061021604,946,3116,11332.489537236352,40243.53063996082,0.30359435173299104,0.0015491822464747326
06061021801,1581,3969,27887.76896000591,39757.20845151098,0.3983371126228269,0.0013698627882987428
06061021802,1138,4690,20059.681636348516,69927.29187646085,0.24264392324093817,7.247938162297051e-4
06061021901,616,2121,6917.15708465369,9818.46065723709,0.29042904290429045,0.0013535153088035197
06061021902,1294,3616,17127.70576768507,19719.330013580806,0.35785398230088494,0.0011167839014686878
06061022002,1165,5436,19966.556110900674,177986.5300579263,0.2143119941133186,9.523289442965356e-4
06061022011,686,1252,5084.57978030506,10183.202298574475,0.547923322683706,0.0051941050509880715
06061022013,515,1904,4300.034182980571,12240.832956088729,0.2704831932773109,9.391111235633611e-4
06061022014,471,833,7905.691928197264,16923.716521465984,0.5654261704681873,0.01919084811421951
06061022100,265,464,3555.7690708696337,10805.886863572952,0.5711206896551724,0.0328869126061679
06061022200,324,558,4719.838138967674,6245.322936779963,0.5806451612903226,0.008396073356019813
06061022300,130,322,1065.400356611635,2797.0916750584342,0.40372670807453415,0.014672591980655323
06061022400,1791,3201,19180.53233063257,16452.54570818821,0.5595126522961574,0.001369260325899319
06061022500,1880,3986,29411.775574874588,33481.21321865097,0.47165077772202707,0.0013823929726123642
06061022600,1410,3189,18177.954749124638,16765.920492234916,0.44214487300094074,0.0014651680152058366
06061022800,1528,3077,14493.583762160366,17723.78303969845,0.49658758531036723,0.00106917917465719
06061022900,1308,3077,12654.724180301366,20062.26845649984,0.4250893727656809,9.536882577746166e-4
06061023000,996,1863,6210.585637604973,2797.0916750584342,0.534621578099839,0.0015590551392956255
06061023100,2552,5185,54405.63187701517,31508.94762613058,0.4921890067502411,0.0017397782058399811
06061023200,1409,3483,21952.49489564952,16142.127290028731,0.40453631926500144,0.0015918210899962505
06061023300,1254,3536,13653.606304450255,26542.252935578937,0.3546380090497738,8.250174289660384e-4
06061023400,1075,3269,11442.614166535785,15530.159551371476,0.3288467421229734,9.136112770522904e-4
06061023500,1675,3732,20798.773108156798,17562.29155310834,0.4488210075026795,0.0012393192135136779
06061023600,1775,4121,26522.297465840118,18377.13990077697,0.4307206988595001,0.0013609758684137673
06061023700,1301,3397,23438.807845455973,9342.48574939256,0.38298498675301734,0.0019124110176712906
06061023800,1182,3105,14858.325403497747,8537.984682329246,0.38067632850241545,0.0014128215519929731
06061023900,474,2065,2569.4515017414838,3621.9177575964745,0.22953995157384988,5.578077527065089e-4
06061990000,0,0,212.85834388078456,53.21458597019614,NaN,.
06063000100,756,3989,16199.406879093873,40978.55710867417,0.18952118325394834,9.255540248760007e-4
06063000201,445,1293,4270.47052410824,11188.366700233737,0.34416086620262953,0.0017616694986527157
06063000202,232,787,2434.567308136473,8650.696131780009,0.2947903430749682,0.005144468723859499
06063000300,682,2957,14815.458098132869,49232.73066582903,0.23063916131214068,0.0013948721450821862
06063000400,319,2041,5016.213819162795,24218.549348213706,0.15629593336599706,0.001062153571835458
06063000501,301,1810,3497.3808445967798,15682.042848828076,0.16629834254143647,9.351643032907474e-4
06063000502,536,1603,3642.612318807106,13908.223316488205,0.3343730505302558,0.002022730272457137
06065030101,86,655,852.9115584667547,2545.800574643619,0.13129770992366413,0.0018857275839942122
06065030103,209,1414,1851.4241368797404,14341.700464703761,0.1478076379066478,0.0010827013107398793
06065030104,823,4630,20512.375162831093,55346.49532062712,0.17775377969762418,8.752956264717258e-4
06065030200,1276,3211,24079.60015151375,26147.57808963332,0.39738399252569295,0.0019349682255749973
06065030300,445,3201,8435.620513483798,32597.25981836827,0.13901905654482974,7.617929606266218e-4
06065030400,236,3864,3554.2908879260167,59423.32387912159,0.061076604554865424,2.5290256804992204e-4
06065030501,408,2524,6386.858953631249,20757.014439999628,0.16164817749603805,9.174171063428902e-4
06065030502,46,1259,780.8501399654475,14341.700464703761,0.03653693407466243,4.805462446680337e-4
06065030503,95,1650,1224.6745687863192,7985.513807152557,0.05757575757575758,4.4011123862870493e-4
06065030601,2191,4266,35058.434419489844,60017.55342245545,0.513595874355368,0.001056498632969581
06065030602,1180,2533,12932.253027965373,11447.048715366636,0.4658507698381366,0.0016284140613521381
06065030603,1240,2307,11169.889413438532,26542.252935578937,0.5374945817078457,0.003539473176974707
06065030700,992,3953,23372.65915872913,67063.68196893967,0.25094864659752086,0.0012254609429688253
06065030800,1268,5421,33175.22934932234,93870.529651426,0.23390518354547132,9.541358171103952e-4
06065030900,279,2173,2464.5005127447084,12106.687853955524,0.12839392544868844,4.7966027493360087e-4
06065031001,1122,4236,31726.97961031402,73838.56394527026,0.26487252124645894,0.0014794418088006857
06065031002,188,3066,2626.7310908066256,40487.80037139346,0.06131767775603392,2.632350015951115e-4
06065031100,683,3210,7606.729427850814,31293.502462098466,0.21277258566978194,6.00732190483169e-4
06065031200,975,4266,20344.970944466513,67063.68196893967,0.22855133614627285,9.254397214492569e-4
06065031300,115,1595,1446.4020103288033,12240.832956088729,0.07210031347962383,5.435357705009356e-4
06065031401,658,4522,20170.54535711976,81285.6496152105,0.14551083591331268,9.022405528826229e-4
06065031402,620,4813,16287.358764239058,66122.44897959185,0.12881778516517764,6.557367465531474e-4
06065031501,754,2976,11227.169002503671,25173.82507552591,0.25336021505376344,0.001085207868537066
06065031502,731,5842,20812.44630038525,149479.77199028095,0.125128380691544,5.412418853454215e-4
06065031601,407,2966,15320.996664849734,40978.55710867417,0.13722184760620365,0.0016538728172020966
06065031602,442,3727,8733.474376622535,37135.281455271106,0.11859404346659512,5.911354031098405e-4
