stplfips,med_age,med_rent,agg_rent,med_homeval,agg_homeval
0656182,-666666666,-666666666,-666666666,-666666666,-666666666
0681869,1992,-666666666,-666666666,-666666666,.
0652764,1977,909,448700,216600,175021300
0606150,1980,931,224500,143500,114230200
0617022,1967,790,872200,123700,.
0638702,1975,671,84200,106800,19117000
0613945,1976,822,2515300,93900,.
0647332,1997,1086,163300,390500,55491000
0602476,1972,939,4736800,335400,.
0634928,1977,893,383100,238600,.
0678148,1957,1398,5476500,661000,.
0682422,1973,850,19000,387500,.
0609892,1972,1154,1003600,527200,733600300
0682667,1945,1282,1760800,658000,.
0684116,1959,1067,1525200,382700,.
0602168,1962,1552,587300,644400,.
0614904,1976,734,356500,224000,.
0637106,1984,934,309100,180500,206442000
0680763,1983,689,297700,206100,.
0647724,1983,1211,58500,434700,.
0663134,1990,746,11900,146900,4815000
0633434,1986,1102,10095100,199200,3478959500
0649628,1984,779,84900,354100,.
0617162,1962,907,1331600,213500,731605500
0630658,1978,1305,2127100,275700,712513000
0639444,1975,1151,1232000,347700,1258047400
0687042,1975,1033,5476800,275600,.
0636868,1980,1448,8036600,416700,.
0648186,1968,1571,293300,371500,.
0662910,1976,1244,4653100,237900,1130895800
0631890,1971,706,174600,151500,.
0606406,1976,1031,2137900,235000,885068700
0613214,1989,1939,10671900,567200,10879892500
0624680,1987,1224,24357100,323300,10502553800
0659451,1987,1654,36181900,444200,16091080600
0681344,1976,1302,16219100,465200,6998671800
0648641,1979,1137,283700,233100,267205900
0621026,1972,854,247100,221100,165198000
0637512,1972,-666666666,-666666666,-666666666,-666666666
0637904,1976,-666666666,.,-666666666,.
0645050,1988,1304,389600,202000,442974100
0655842,1969,1044,354000,151300,.
0648480,1952,-666666666,.,257400,.
0659220,1980,-666666666,.,239700,29792000
0621188,1986,1056,557400,253300,.
0651812,1959,721,87300,53700,.
0623812,1944,567,4400,86700,.
0645736,1971,790,117100,63100,18848000
0660704,1979,865,3799700,169500,.
0680784,1983,775,16500,-666666666,.
0683948,1977,655,194800,84500,.
0646702,1967,1214,441000,536000,471716000
0653182,1961,1370,387400,476000,.
0657372,1978,1204,207100,311200,120614900
0607162,1955,1082,216300,277600,.
0617722,1973,937,466200,301800,231075000
0623910,1942,1070,291200,368800,.
0636126,1982,1022,59800,357100,.
0602252,1984,1562,20311700,330900,6712381600
0614232,1961,1438,157600,336900,.
0638086,1947,2598,584800,852700,1860559000
0638772,1976,1280,104000,644000,279435000
