stplfips,total,total_se2,race,race_ct,race_ct_se2,race_share,race_share_se2
0642230,162,1915.7250949270606,black_nh,51,1810.774105930285,0.3148148148148148,0.061763058944909396
0642230,162,1915.7250949270606,asian_nh,0,53.21458597019614,0,0.0020276857937127015
0642230,162,1915.7250949270606,hisp,7,18.10774105930285,0.043209876543209874,8.262680536279551e-4
0642328,591,11708.687096386766,white_nh,451,9342.48574939256,0.7631133671742809,0.007226346001181691
0642328,591,11708.687096386766,black_nh,0,53.21458597019614,0,1.5235465419016818e-4
0642328,591,11708.687096386766,asian_nh,1,3.3259116231372587,0.001692047377326565,9.61814092130068e-6
0642328,591,11708.687096386766,hisp,101,4802.616383810202,0.17089678510998307,0.012770966214593544
0642370,23961,533.6240426455779,white_nh,8128,205107.12207019518,0.33921789574725597,3.571419185083238e-4
0642370,23961,533.6240426455779,black_nh,2852,93870.529651426,0.11902675180501648,1.634874469439266e-4
0642370,23961,533.6240426455779,asian_nh,6096,148072.91137369387,0.25441342181044196,2.578483887487635e-4
0642370,23961,533.6240426455779,hisp,6086,132593.37958814128,0.2539960769583907,2.308868443691469e-4
0642384,201,13765.209116693304,white_nh,71,4310.381463585887,0.35323383084577115,0.1492023361494101
0642384,201,13765.209116693304,black_nh,0,53.21458597019614,0,0.001317160119061314
0642384,201,13765.209116693304,asian_nh,0,53.21458597019614,0,0.001317160119061314
0642384,201,13765.209116693304,hisp,130,9818.46065723709,0.6467661691542289,0.10050207961988006
0642412,3111,226564.42567973316,white_nh,2368,200725.78782531573,0.7611700417872067,0.00717675398669715
0642412,3111,226564.42567973316,black_nh,241,32817.13953123123,0.07746705239472838,0.0032503048556265838
0642412,3111,226564.42567973316,asian_nh,0,53.21458597019614,0,5.498328271008591e-6
0642412,3111,226564.42567973316,hisp,349,8764.146672702582,0.11218257794921248,0.0012001507586456334
0642468,20707,289.7238569488456,white_nh,8910,155173.73268909194,0.4302892741584971,3.6177094378197025e-4
0642468,20707,289.7238569488456,black_nh,875,33259.11623137258,0.04225624185058193,7.756567614108655e-5
0642468,20707,289.7238569488456,asian_nh,3328,63338.66095102596,0.16071859757569903,1.4770091783936456e-4
0642468,20707,289.7238569488456,hisp,6637,214011.69612254138,0.3205196310426426,0.00049904848016697095
0642510,899,15078.944207832521,white_nh,553,6635.563233894734,0.6151279199110122,0.015269926289628514
0642510,899,15078.944207832521,black_nh,19,378.41483356583916,0.021134593993325918,4.598849859424169e-4
0642510,899,15078.944207832521,asian_nh,47,1038.0539721547286,0.05228031145717464,0.0012334057182686014
0642510,899,15078.944207832521,hisp,220,5410.519119372511,0.2447163515016685,0.005577201796137855
0642524,43762,1708.7794828207427,white_nh,13883,334920.7786328655,0.3172387002422193,1.7479327257487493e-4
0642524,43762,1708.7794828207427,black_nh,2012,115063.2385140566,0.045975960879301676,6.007982187120826e-5
0642524,43762,1708.7794828207427,asian_nh,1154,37841.483356583914,0.026369909967551758,1.9758782982019816e-5
0642524,43762,1708.7794828207427,hisp,24821,356361.82223002374,0.567181573054248,1.857917431838916e-4
0642566,1872,20932.548664554095,white_nh,128,961.1884590866678,0.06837606837606838,3.0220835559439626e-4
0642566,1872,20932.548664554095,black_nh,9,53.21458597019614,0.004807692307692308,1.5323211987684255e-5
0642566,1872,20932.548664554095,asian_nh,4,9.238643397603495,0.002136752136752137,2.6635823408506588e-6
0642566,1872,20932.548664554095,hisp,1728,20932.548664554095,0.9230769230769231,8.83616312463927e-4
0642580,1767,34151.938729316986,white_nh,899,14487.671030385898,0.5087719298245614,0.007471397427787782
0642580,1767,34151.938729316986,black_nh,7,72.4309642372114,0.003961516694963215,2.336969178666443e-5
0642580,1767,34151.938729316986,asian_nh,2,133.40601066139448,0.0011318619128466328,4.2712976993387295e-5
0642580,1767,34151.938729316986,hisp,714,20932.548664554095,0.40407470288624786,0.004918296875664582
0642622,48,1759.4072486396094,white_nh,0,53.21458597019614,0,0.02309660849400874
0642622,48,1759.4072486396094,black_nh,0,53.21458597019614,0,0.02309660849400874
0642622,48,1759.4072486396094,asian_nh,48,1759.4072486396094,1,0
0642622,48,1759.4072486396094,hisp,0,53.21458597019614,0,0.02309660849400874
0643000,470489,8878.33630509696,white_nh,129957,1559082.4179377502,0.2762168722329321,7.0401416187195966e-6
0643000,470489,8878.33630509696,black_nh,58260,1860860.856791789,0.12382861235863113,8.405879872491566e-6
0643000,470489,8878.33630509696,asian_nh,61269,1475228.0559122695,0.13022408600413612,6.663706932319064e-6
0643000,470489,8878.33630509696,hisp,201523,2841632.6530612246,0.4283266983925235,1.2829802558514929e-5
0643126,63,1375.0796832993042,white_nh,63,1375.0796832993042,1,0
0643126,63,1375.0796832993042,black_nh,0,53.21458597019614,0,0.013407555044141126
0643126,63,1375.0796832993042,asian_nh,0,53.21458597019614,0,0.013407555044141126
0643126,63,1375.0796832993042,hisp,0,53.21458597019614,0,0.013407555044141126
0643140,6727,195.48969429328997,white_nh,5932,38315.980081484835,0.8818195332243199,8.433554328649147e-4
0643140,6727,195.48969429328997,black_nh,28,478.93127373176515,0.004162330905306972,1.0583450195083945e-5
0643140,6727,195.48969429328997,asian_nh,107,3695.457359041398,0.015906050245280214,8.166190887746494e-5
0643140,6727,195.48969429328997,hisp,274,8204.284882807808,0.040731381001932514,1.8129286335643403e-4
0643224,11639,1969.3092266331612,white_nh,5505,103023.4384382997,0.47297877824555373,7.572574912465925e-4
0643224,11639,1969.3092266331612,black_nh,518,21821.306159403553,0.0445055417132056,1.6105409302035416e-4
0643224,11639,1969.3092266331612,asian_nh,1391,28559.972653615547,0.11951198556577025,2.1061947038529113e-4
0643224,11639,1969.3092266331612,hisp,3233,96496.15210502491,0.27777300455365583,7.112041114245029e-4
0643252,1447,117968.23754399904,white_nh,833,126900.52752653799,0.5756738078783691,0.041935923626237465
0643252,1447,117968.23754399904,black_nh,0,53.21458597019614,0,2.5415205479676578e-5
0643252,1447,117968.23754399904,asian_nh,68,4310.381463585887,0.046993780234968904,0.0021830569712044815
0643252,1447,117968.23754399904,hisp,546,72522.98112545154,0.37733241188666206,0.026614984015668204
0643280,30527,887.2793119058397,white_nh,18633,104590.31235853328,0.6103776984308973,1.1187895785580628e-4
0643280,30527,887.2793119058397,black_nh,97,1420.5338088155136,0.003177514986733056,1.5243355639832127e-6
0643280,30527,887.2793119058397,asian_nh,8605,66749.19854768527,0.28188161299832937,7.155151869581164e-5
