stplfips,agecat,total,total_se2,age_ct,age_ct_se2,age_share,age_share_se2
0624008,under18,865,8993.265028963146,182,1375.0796832993042,0.21040462427745665,0.0023698920494158735
0624008,over65,865,8993.265028963146,169,505.9081124527675,0.19537572254335261,0.0011349474876875165
0624022,under18,147,10932.641050988072,0,53.21458597019614,0,0.0024626121509646968
0624022,over65,147,10932.641050988072,0,53.21458597019614,0,0.0024626121509646968
0624092,under18,15529,562.0790643101966,4441,31942.05522861023,0.28598106767982484,1.3226666608575548e-4
0624092,over65,15529,562.0790643101966,2027,23841.612697591485,0.13052997617361067,9.882667081052635e-5
0624134,under18,8275,1286.3887066823108,2697,32597.25981836827,0.3259214501510574,4.740462528965036e-4
0624134,over65,8275,1286.3887066823108,630,18048.983287294097,0.07613293051359517,2.634737118696733e-4
0624218,under18,83,94.60370839145979,0,53.21458597019614,0,0.007724573373522448
0624218,over65,83,94.60370839145979,75,36.95457359041398,0.9036144578313253,0.01657719659248635
0624477,under18,63821,1164300.0341829804,20042,457781.80172023544,0.31403456542517355,8.420110312106428e-5
0624477,over65,63821,1164300.0341829804,4306,52244.89795918367,0.06746995503047586,1.4127994750516807e-5
0624498,under18,49226,785567.0217385279,12647,265115.436849253,0.25691707634177063,8.800886413985868e-5
0624498,over65,49226,785567.0217385279,6149,48694.672074352595,0.12491366351115264,2.515361097390187e-5
0624526,under18,34,249.81291747119852,0,53.21458597019614,0,0.04603337886695168
0624526,over65,34,249.81291747119852,9,62.45322936779963,0.2647058823529412,0.06916731979408132
0624568,under18,165,1708.7794828207427,47,452.69352648257126,0.28484848484848485,0.021720536374397987
0624568,over65,165,1708.7794828207427,36,178.8601361776037,0.21818181818181817,0.009557527581916088
0624638,under18,75897,1330.3646492549035,18553,133480.28935431121,0.24444971474498334,2.315843408740593e-5
0624638,over65,75897,1330.3646492549035,9401,61817.98024778042,0.12386523841522062,1.0728084153390209e-5
0624680,under18,207086,2134.4961705823116,61076,700706.3866741807,0.29493060853944736,1.6335013813097627e-5
0624680,over65,207086,2134.4961705823116,14910,237693.29551648637,0.0719990728489613,5.542366430198823e-6
0624722,under18,33627,435840.7627423989,8533,129512.47678790848,0.253754423528712,8.97155567262147e-5
0624722,over65,33627,435840.7627423989,3359,27946.896277750573,0.0998899693698516,2.8560690084855403e-5
0624750,under18,370,24598.442364723167,107,9939.302112877745,0.2891891891891892,0.05757578418392272
0624750,over65,370,24598.442364723167,99,3477.0558291220514,0.26756756756756755,0.03826236255174772
0624764,under18,4388,90914.16376419287,1352,34602.784527120035,0.3081130355515041,0.0013488749351879476
0624764,over65,4388,90914.16376419287,440,1969.3092266331612,0.10027347310847767,1.4975323120172015e-4
0624834,under18,1475,70571.77963987768,391,36668.175645088275,0.26508474576271185,0.014574709411602568
0624834,over65,1475,70571.77963987768,281,16923.716521465984,0.19050847457627118,0.006601515025430648
0624897,under18,1715,65187.86781349027,365,11188.366700233737,0.21282798833819241,0.004807894749481656
0624897,over65,1715,65187.86781349027,426,8764.146672702582,0.24839650145772596,0.004347267447093917
0624918,under18,557,15228.610230873697,43,1708.7794828207427,0.07719928186714542,0.005215233863633555
0624918,over65,557,15228.610230873697,176,3265.3061224489793,0.31597845601436264,0.01542556747334104
0624960,under18,3658,73508.55960310787,499,10183.202298574475,0.1364133406232914,6.587949084309554e-4
0624960,over65,3658,73508.55960310787,854,9578.995020371209,0.2334609075997813,0.0010152859848641684
0625030,under18,223,1862.8800546927691,53,289.7238569488456,0.23766816143497757,0.007942061742441952
0625030,over65,223,1862.8800546927691,48,230.96608494008737,0.21524663677130046,0.006380087963103096
0625058,under18,7269,310.78796389538155,1629,11317.338162064281,0.2241023524556335,2.1389251288645738e-4
0625058,over65,7269,310.78796389538155,1247,11840.614924104546,0.1715504195900399,2.239181600519631e-4
0625086,under18,588,16923.716521465984,42,887.2793119058397,0.07142857142857142,0.002816028056487744
0625086,over65,588,16923.716521465984,184,4471.503404440091,0.3129251700680272,0.017726150898781136
0625114,under18,9053,322375.4399903918,3400,118386.19377130664,0.37556611068154205,0.001999311838389057
0625114,over65,9053,322375.4399903918,68,4310.381463585887,0.00751132221363084,5.237140276784438e-5
0625128,under18,819,11188.366700233737,243,2733.160262747018,0.2967032967032967,0.005543113014222054
0625128,over65,819,11188.366700233737,103,591.2731774466237,0.12576312576312576,0.001145314732854889
0625296,under18,11981,310.78796389538155,2812,24598.442364723167,0.23470494950338036,1.7124547421607677e-4
0625296,over65,11981,310.78796389538155,2089,22912.20517179257,0.17435940238711292,1.5955176981401173e-4
0625300,under18,756,75165.97222863795,346,40243.53063996082,0.4576719576719577,0.0428651807288524
0625300,over65,756,75165.97222863795,146,6149.610591180792,0.1931216931216931,0.01566480469480732
0625338,under18,33529,851.4333755231382,7222,31293.502462098466,0.2153956276656029,2.780125529551804e-5
0625338,over65,33529,851.4333755231382,5269,21642.076477490045,0.157147543917206,1.9232492870243087e-5
0625380,under18,56640,4887.242357332249,11531,69927.29187646085,0.2035840395480226,2.1734035413451223e-5
0625380,over65,56640,4887.242357332249,10359,64568.509160114925,0.18289194915254237,2.0075821298014884e-5
