tract,agg_rent,agg_homeval
06023010901,696700,.
06023010902,294600,.
06023011000,678200,279820700
06023011100,769500,253987000
06023011200,536900,400006500
06023011500,566000,478033500
06023011600,564600,380718400
06023940000,192200,.
06023990100,.,.
06025010101,.,.
06025010102,405700,91140500
06025010200,265400,47780000
06025010300,41200,54552300
06025010400,763900,104505300
06025010500,835000,176462000
06025010600,654400,287133600
06025010700,425900,.
06025010800,52700,82424000
06025010900,608500,167251400
06025011000,1025400,.
06025011100,293700,.
06025011201,604200,252387000
06025011202,796000,.
06025011300,653600,.
06025011400,364500,.
06025011500,643400,.
06025011600,1076800,76408000
06025011700,468900,170321000
06025011801,99900,.
06025011802,840800,118547100
06025011803,528600,292290300
06025011900,795100,342997000
06025012001,573100,19255000
06025012002,814800,.
06025012100,873700,83027500
06025012200,508100,175899200
06025012301,95300,.
06025012302,620300,.
06025012400,38700,.
06025940000,130100,.
06027000100,118500,.
06027000200,248900,.
06027000300,112000,.
06027000400,1460600,.
06027000500,246800,.
06027000800,310300,142919500
06029000101,2977700,303937000
06029000102,580300,.
06029000200,1775800,.
06029000300,1113400,.
06029000400,841000,32110400
06029000503,462000,.
06029000504,692400,225554600
06029000505,571100,.
06029000506,1159100,61219800
06029000507,247100,283939800
06029000600,1621100,36538000
06029000700,864800,446237500
06029000800,605400,.
06029000902,569200,.
06029000903,610200,154223100
06029000904,721600,152552300
06029000905,234100,98746500
06029000906,589600,.
06029000907,318400,50399000
06029000908,654400,246978000
06029000909,142300,.
06029000910,1412200,535130000
06029001000,563000,.
06029001101,651300,.
06029001102,751800,.
06029001103,783900,.
06029001201,326200,.
06029001202,876300,.
06029001300,1409200,29077000
06029001400,1479300,.
06029001500,343300,.
06029001600,400400,27643000
06029001700,1009100,236253800
06029001801,1170900,.
06029001802,1549000,160918000
06029001901,654100,.
06029001902,1031900,.
06029002000,1475300,.
06029002100,469100,.
06029002200,726000,.
06029002301,1427100,.
06029002302,412100,.
06029002400,881600,223914600
06029002500,1122000,.
06029002600,421800,63202400
06029002700,725300,.
06029002804,548400,.
06029002806,896900,.
06029002807,238400,486164500
06029002808,1651500,554627000
06029002811,209300,746423500
06029002812,1260000,.
06029002813,1085200,59247600
06029002814,924600,101692500
06029002815,642900,.
06029002816,887800,111550900
06029002817,1344400,72023500
06029002818,609500,200986200
06029002819,1080900,133893000
06029002820,599200,.
06029002821,668400,233355000
06029002900,1300800,.
06029003000,1022900,.
06029003103,386200,.
06029003112,984500,.
06029003113,671300,.
06029003114,803100,.
06029003115,757400,.
06029003121,1345800,.
06029003122,951400,.
06029003123,2934500,783545500
06029003124,570400,224878400
06029003202,2035300,.
06029003203,100000,.
06029003204,1002400,.
06029003205,813100,.
06029003206,915800,.
06029003303,121500,30128000
06029003304,144400,86303000
06029003305,576700,.
06029003306,450200,.
06029003400,520500,.
06029003500,1013300,188712000
06029003600,802600,122006300
06029003700,257400,.
06029003803,385900,661440700
06029003804,1770800,.
06029003805,734800,603970400
06029003806,799600,.
06029003807,374000,204495000
06029003808,1071400,197687500
06029003809,816000,.
06029003810,211200,317651000
06029003811,426700,161339400
06029003812,1203900,.
06029003813,354500,.
06029003900,17700,.
06029004000,676900,210525000
06029004101,474200,213694600
06029004102,708000,.
06029004200,145400,48837000
06029004301,514700,228873700
06029004302,.,.
06029004401,640800,.
06029004402,666200,.
06029004500,290600,50944000
06029004601,.,.
06029004603,.,.
06029004604,637300,432996500
06029004701,792900,.
06029004702,330400,.
06029004800,1330900,.
06029004901,666700,.
06029004902,504800,291782500
06029005003,408200,60502000
06029005004,599000,.
06029005103,257800,.
06029005104,231200,434831400
06029005201,371300,.
06029005203,525500,220973500
06029005204,741800,.
06029005300,450800,.
06029005401,765400,.
06029005402,340700,287058400
06029005403,1241800,.
06029005404,1080600,348474400
06029005501,518100,1072108400
06029005506,417300,280352000
06029005507,1190300,135614500
06029005508,622300,120462900
06029005600,217400,44950000
06029005700,911500,.
06029005801,901400,.
06029005802,1601300,.
06029005900,696500,.
06029006002,.,.
06029006003,800900,255056000
06029006004,86100,119209900
06029006006,303400,390571200
06029006007,504600,.
06029006008,89300,.
06029006100,884100,.
06029006201,251700,.
06029006202,677700,145614200
06029006301,371800,.
06029006303,715500,.
06029006304,486200,50803400
06029006401,852500,100803500
06029006403,808900,.
06029006404,290600,.
06029006500,173500,51631900
06031000100,273600,.
06031000200,204500,136169000
06031000300,2141700,.
06031000402,835400,.
06031000403,837000,171138700
06031000404,1475100,407476500
06031000405,1159300,151782000
06031000500,521400,194514100
06031000601,1143900,539495400
06031000602,1135000,355146600
06031000701,728600,345194500
06031000702,461500,.
06031000800,450800,.
06031000900,1589100,154065600
06031001001,511100,.
06031001002,722400,.
06031001003,596800,.
06031001100,851000,.
06031001200,262000,116726000
06031001300,696100,.
06031001401,242000,66730500
06031001402,312000,.
06031001500,513900,.
06031001601,329800,112002000
06031001602,.,.
06031001701,931700,140869600
06031981800,.,.
06033000100,330700,.
06033000300,489900,282047000
06033000400,878700,294954000
06033000501,441900,.
06033000502,351200,136512700
06033000600,549000,229906700
06033000701,662800,.
06033000702,535600,.
06033000801,548900,.
06033000802,768000,80756600
06033000900,570000,.
06033001000,618300,.
06033001100,348400,265600500
06033001200,192000,.
06033001300,762900,.
06035040100,55000,150286700
06035040200,329300,.
06035040302,452700,.
06035040303,691000,.
06035040304,286400,.
06035040305,523400,.
06035040400,81300,90886200
06035040500,221000,381531400
06035040600,261500,94754000
06037101110,1135300,327442000
06037101122,426900,.
06037101210,2382500,130740000
06037101220,936600,201435000
06037101300,348000,689431800
06037101400,561700,.
06037102103,439000,238862000
06037102104,727500,.
06037102105,452700,118099600
06037102107,389900,523174500
06037103101,283700,351125300
06037103102,402200,484724000
06037103200,931200,651942000
06037103300,282200,798348200
06037103400,1555600,801232600
06037104103,219100,273113000
06037104105,706200,236144600
06037104108,891600,176335200
06037104124,291100,.
06037104201,398200,.
06037104203,895800,.
06037104204,295100,142187700
06037104310,479500,196459200
06037104320,867700,185795500
06037104401,440500,149511300
