tract,agg_rent
06029003400,520500
06029003500,1013300
06029003600,802600
06029003700,257400
06029003803,385900
06029003804,1770800
06029003805,734800
06029003806,799600
06029003807,374000
06029003808,1071400
06029003809,816000
06029003810,211200
06029003811,426700
06029003812,1203900
06029003813,354500
06029003900,17700
06029004000,676900
06029004101,474200
06029004102,708000
06029004200,145400
06029004301,514700
06029004302,.
06029004401,640800
06029004402,666200
06029004500,290600
06029004601,.
06029004603,.
06029004604,637300
06029004701,792900
06029004702,330400
06029004800,1330900
06029004901,666700
06029004902,504800
06029005003,408200
06029005004,599000
06029005103,257800
06029005104,231200
06029005201,371300
06029005203,525500
06029005204,741800
06029005300,450800
06029005401,765400
06029005402,340700
06029005403,1241800
06029005404,1080600
06029005501,518100
06029005506,417300
06029005507,1190300
06029005508,622300
06029005600,217400
06029005700,911500
06029005801,901400
06029005802,1601300
06029005900,696500
06029006002,.
06029006003,800900
06029006004,86100
06029006006,303400
06029006007,504600
06029006008,89300
06029006100,884100
06029006201,251700
06029006202,677700
06029006301,371800
06029006303,715500
06029006304,486200
06029006401,852500
06029006403,808900
06029006404,290600
06029006500,173500
06031000100,273600
06031000200,204500
06031000300,2141700
06031000402,835400
06031000403,837000
06031000404,1475100
06031000405,1159300
06031000500,521400
06031000601,1143900
06031000602,1135000
06031000701,728600
06031000702,461500
06031000800,450800
06031000900,1589100
06031001001,511100
06031001002,722400
06031001003,596800
06031001100,851000
06031001200,262000
06031001300,696100
06031001401,242000
06031001402,312000
06031001500,513900
06031001601,329800
06031001602,.
06031001701,931700
06031981800,.
06033000100,330700
06033000300,489900
06033000400,878700
06033000501,441900
06033000502,351200
06033000600,549000
06033000701,662800
06033000702,535600
06033000801,548900
06033000802,768000
06033000900,570000
06033001000,618300
06033001100,348400
06033001200,192000
06033001300,762900
06035040100,55000
06035040200,329300
06035040302,452700
06035040303,691000
06035040304,286400
06035040305,523400
06035040400,81300
06035040500,221000
06035040600,261500
06037101110,1135300
06037101122,426900
06037101210,2382500
06037101220,936600
06037101300,348000
06037101400,561700
06037102103,439000
06037102104,727500
06037102105,452700
06037102107,389900
06037103101,283700
06037103102,402200
06037103200,931200
06037103300,282200
06037103400,1555600
06037104103,219100
06037104105,706200
06037104108,891600
06037104124,291100
06037104201,398200
06037104203,895800
06037104204,295100
06037104310,479500
06037104320,867700
06037104401,440500
06037104403,353300
06037104404,506900
06037104500,293500
06037104610,418100
06037104620,385900
06037104701,711000
06037104703,461200
06037104704,599600
06037104810,414500
06037104821,421300
06037104822,494400
06037106010,376600
06037106020,541200
06037106111,266400
06037106112,382100
06037106113,272800
06037106114,1228100
06037106403,218700
06037106405,862600
06037106406,656700
06037106407,781700
06037106408,1008700
06037106510,935800
06037106520,739400
06037106603,331500
06037106604,767900
06037106641,220000
06037106642,232100
06037106643,335600
06037106645,353500
06037106646,264200
06037106648,647300
06037106649,191900
06037107010,280200
06037107020,476100
06037108101,295000
06037108102,499800
06037108103,183500
06037108104,186900
06037108201,1343200
06037108202,1770800
06037109100,282400
06037109200,461200
06037109300,402900
06037109400,460100
